cpd_id,is_Rgroup,gnn,dgp_original,dgp_retrained,eq_structurebased,eq_detail
cpd24075,False,1,0,1,0,found_notEst
cpd24076,False,1,0,1,0,found_notEst
cpd24077,False,1,0,1,1,covered
cpd24078,False,1,0,1,1,covered
cpd24079,False,1,0,1,1,covered
cpd24080,False,1,0,1,1,covered
cpd24081,False,1,0,1,1,covered
cpd24082,False,1,0,1,1,covered
cpd24083,False,1,0,1,0,notfound
cpd24084,False,1,0,0,1,covered
cpd24085,False,1,0,1,1,covered
cpd24086,False,1,0,1,1,covered
cpd24087,False,1,0,1,0,found_notEst
cpd24088,False,1,0,1,1,covered
cpd24089,False,1,1,1,1,covered
cpd24090,False,1,0,1,1,covered
cpd24091,False,1,0,1,1,covered
cpd24092,False,1,0,1,1,covered
cpd24095,False,1,0,1,1,covered
cpd24096,False,1,0,1,0,notfound
cpd24097,False,1,0,1,0,notfound
cpd24098,False,1,0,1,1,covered
cpd24099,False,1,0,0,0,notfound
cpd24100,False,1,0,1,1,covered
cpd24101,False,1,1,1,1,covered
cpd24102,False,1,0,1,0,found_notEst
cpd24103,False,1,0,1,1,covered
cpd24104,False,1,0,1,0,found_notEst
cpd24105,False,1,0,1,0,found_notEst
cpd24106,False,1,0,1,1,covered
cpd24107,False,1,0,1,1,covered
cpd24108,False,1,0,1,0,found_notEst
cpd24109,False,1,0,1,1,covered
cpd24110,False,1,0,1,1,covered
cpd24111,False,1,0,1,1,covered
cpd24112,False,1,0,1,0,notfound
cpd24113,False,1,0,1,1,covered
cpd24114,False,1,0,1,1,covered
cpd24115,False,1,0,1,1,covered
cpd24116,False,1,0,1,1,covered
cpd24117,False,1,0,1,0,found_notEst
cpd24118,False,1,0,1,0,found_notEst
cpd24119,False,1,0,1,0,found_notEst
cpd24120,True,1,0,0,,
cpd24121,False,1,0,1,1,covered
cpd24122,False,1,0,1,1,covered
cpd24123,False,1,0,1,1,covered
cpd24124,False,1,0,1,1,covered
cpd24125,False,1,1,1,0,found_notEst
cpd24126,False,1,0,1,0,found_notEst
cpd24127,False,1,1,1,0,found_notEst
cpd24128,False,1,0,1,0,found_notEst
cpd24129,False,1,0,1,0,found_notEst
cpd24130,False,1,1,1,0,found_notEst
cpd24131,False,1,0,1,0,found_notEst
cpd24132,False,1,0,1,0,found_notEst
cpd24133,False,1,1,1,0,found_notEst
cpd24134,False,1,0,1,0,found_notEst
cpd24135,False,1,0,1,0,found_notEst
cpd24136,False,1,0,1,0,found_notEst
cpd24137,False,1,0,1,0,found_notEst
cpd24138,False,1,0,1,0,found_notEst
cpd24139,False,1,0,1,0,found_notEst
cpd24140,False,1,0,1,1,covered
cpd24141,False,1,0,1,0,found_notEst
cpd24142,False,1,0,1,0,found_notEst
cpd24143,False,1,0,1,0,found_notEst
cpd24144,False,1,0,1,0,found_notEst
cpd24145,False,1,0,1,0,found_notEst
cpd24146,False,1,0,1,0,found_notEst
cpd24147,False,1,0,1,0,found_notEst
cpd24148,False,1,0,1,0,found_notEst
cpd24149,False,1,0,0,0,found_notEst
cpd24150,False,1,1,1,0,found_notEst
cpd24151,False,1,0,1,0,found_notEst
cpd24152,False,1,0,1,0,found_notEst
cpd24153,False,1,0,1,0,found_notEst
cpd24154,False,1,0,1,0,found_notEst
cpd24155,False,1,0,1,0,found_notEst
cpd24156,False,1,0,1,1,covered
cpd24157,False,1,1,1,0,found_notEst
cpd24158,False,1,0,1,1,covered
cpd24159,False,1,0,1,1,covered
cpd24160,False,1,0,1,1,covered
cpd24161,False,1,0,1,1,covered
cpd24162,False,1,0,0,1,covered
cpd24163,False,1,0,1,1,covered
cpd24164,False,1,0,1,1,covered
cpd24165,False,1,0,1,0,found_notEst
cpd24167,False,1,1,1,1,covered
cpd24168,False,1,0,1,1,covered
cpd24169,False,1,0,1,1,covered
cpd24170,False,1,0,1,1,covered
cpd24171,False,1,0,1,1,covered
cpd24172,False,1,0,1,1,covered
cpd24173,False,1,0,1,1,covered
cpd24174,False,1,1,1,1,covered
cpd24175,False,1,0,0,1,covered
cpd24176,False,1,1,1,1,covered
cpd24177,False,1,1,1,1,covered
cpd24178,False,1,0,0,0,notfound
cpd24179,False,1,0,1,0,found_notEst
cpd24180,False,1,0,1,0,found_notEst
cpd24181,False,1,0,1,0,found_notEst
cpd24182,False,1,0,1,0,found_notEst
cpd24183,False,1,0,1,0,notfound
cpd24184,False,1,0,1,1,covered
cpd24186,False,1,0,1,1,covered
cpd24187,False,1,0,1,1,covered
cpd24188,False,1,0,1,1,covered
cpd24189,False,1,0,0,0,notfound
cpd24190,False,1,0,1,1,covered
cpd24191,False,1,0,1,1,covered
cpd24192,False,1,0,1,1,covered
cpd24193,False,1,0,1,0,found_notEst
cpd24194,False,1,0,0,1,covered
cpd24195,False,1,0,1,0,found_notEst
cpd24196,False,1,0,1,1,covered
cpd24197,False,1,0,1,1,covered
cpd24198,False,1,0,1,1,covered
cpd24199,False,1,0,1,1,covered
cpd24200,False,1,0,1,1,covered
cpd24201,False,1,0,1,1,covered
cpd24202,False,1,1,1,0,notfound
cpd24203,False,1,0,1,1,covered
cpd24204,False,1,0,1,1,covered
cpd24205,False,1,0,1,0,found_notEst
cpd24206,False,1,0,1,1,covered
cpd24207,False,1,0,1,1,covered
cpd24208,False,1,0,1,1,covered
cpd24209,False,1,0,1,0,notfound
cpd24210,False,1,0,1,1,covered
cpd24211,False,1,0,1,0,found_notEst
cpd24212,False,1,0,1,1,covered
cpd24213,False,1,0,1,1,covered
cpd24214,False,1,0,1,1,covered
cpd24215,False,1,0,1,1,covered
