cpd,name,charge,G_ai_kJ,dGf_exp_kJ,resid_loo_kJ
cpd00296,dGMP,-2,-4018239.609,-1139.960,42.49
cpd00073,Urea,0,-591470.219,-202.800,-20.86
cpd00170,Gluconolactone,0,-1801015.579,-903.500,-0.51
cpd00207,Guanine,0,-1424533.358,69.881,32.51
cpd00363,Ethanol,0,-406900.167,-181.293,-24.01
cpd00115,dATP,-3,-6801266.484,-2645.263,-48.23
cpd00491,D-glucitol 6-phosphate,-2,-3295714.453,-1793.580,-8.25
cpd00182,Adenosine,0,-2529631.992,-194.552,-0.51
cpd00331,cis-Aconitate,-3,-1791487.977,-917.130,13.85
cpd00051,L-Arginine,1,-1593417.765,-292.587,12.17
cpd00005,NADPH,-4,-9197408.253,-3024.800,-22.39
cpd00745,Hydracrylic acid,-1,-900951.646,-518.400,-3.85
cpd00060,L-Methionine,0,-2101608.185,-502.582,250.35
cpd00223,Glycerate,-1,-1098518.473,-661.010,-31.75
cpd00249,Uridine,0,-2391843.477,-759.404,12.14
cpd00128,Adenine,0,-1226902.944,312.838,22.32
cpd00311,Guanosine,0,-2727228.660,-441.697,50.74
cpd00695,2-Oxoglutaramate,-1,-1443989.321,-595.880,-34.20
cpd00024,2-Oxoglutarate,-2,-1495022.825,-793.410,17.75
cpd00065,L-Tryptophan,0,-1801762.781,-112.215,26.95
cpd00055,Formaldehyde,0,-300634.538,-109.328,-12.20
cpd00161,L-Threonine,0,-1150595.428,-501.369,-22.29
cpd00359,indol,0,-954946.980,223.800,-6.46
cpd00040,Glyoxalate,-1,-794696.540,-468.600,20.14
cpd00004,NADH,-2,-7708835.857,-2194.260,23.25
cpd00250,Creatine,0,-1240621.851,-259.200,-2.51
cpd00911,6-phospho-D-glucono-1-5-lactone,-2,-3289556.844,-1746.080,3.49
cpd00035,L-Alanine,0,-849911.163,-371.581,3.37
cpd00491,D-glucitol 6-phosphate,-2,-3295714.453,-1793.100,-8.76
cpd00103,PRPP,-4,-5971303.746,-3325.230,53.02
cpd00054,L-Serine,0,-1047455.264,-518.523,3.05
cpd00129,L-Proline,0,-1053054.100,-307.775,12.69
cpd00096,CDP,-2,-5319041.977,-2284.962,0.15
cpd00141,Propionate,-1,-703395.975,-363.088,-0.27
cpd00066,L-Phenylalanine,0,-1456342.031,-206.815,6.34
cpd00126,GMP,-2,-4215788.611,-1282.337,32.01
cpd00046,CMP,-2,-3828158.619,-1385.310,-5.08
cpd00171,D-Ribulose5-phosphate,-2,-2991870.473,-1595.320,60.20
cpd00446,cAMP,-1,-3818618.105,-629.680,-159.15
cpd00031,GDP,-2,-5706671.390,-2182.031,37.48
cpd00367,Cytidine,0,-2339605.015,-544.669,5.65
cpd00246,Inosine,0,-2581846.094,-409.150,31.59
cpd00014,UDP,-2,-5371285.271,-2499.655,1.35
cpd00052,CTP,-3,-6808779.596,-3142.803,-36.70
cpd00193,APS,-2,-5656404.971,-1541.980,-250.35
cpd00294,dAMP,-2,-3820627.168,-887.472,3.22
cpd00830,4-Hydroxy-2-oxoglutarate,-2,-1692598.698,-951.780,-3.84
cpd00100,Glycerol,0,-905126.262,-497.480,-6.97
cpd00169,3-Phosphoglycerate,-3,-2587019.117,-1502.540,12.84
cpd01269,2-Propanol,0,-510039.560,-185.230,-26.94
cpd00069,L-Tyrosine,0,-1653906.126,-384.091,17.02
cpd01088,1-Octanal,0,-1022561.282,-84.977,-37.59
cpd00076,Sucrose,0,-3407440.584,-1564.700,20.37
cpd00006,NADP,-3,-9195539.299,-3052.630,-32.79
cpd00039,L-Lysine,1,-1305787.473,-388.652,56.27
cpd00061,Phosphoenolpyruvate,-3,-2386341.215,-1263.650,5.30
cpd00053,L-Glutamine,0,-1396042.620,-528.356,8.68
cpd00297,dTDP,-2,-5276881.252,-2366.077,7.90
cpd02069,3-Phosphonooxypyruvate,-3,-2583898.563,-1448.670,30.87
cpd00314,D-Mannitol,0,-1807154.913,-944.730,0.29
cpd00222,GLCN,-1,-2000563.095,-1128.300,-21.17
cpd00533,dCDP,-2,-5121500.438,-2144.685,4.73
cpd00295,dGDP,-2,-5509121.902,-2039.654,48.13
cpd03662,n-Butanol,0,-613153.937,-162.507,-31.77
cpd00102,Glyceraldehyde3-phosphate,-2,-2390486.908,-1288.600,78.86
cpd00139,Glycolate,-1,-797829.866,-506.975,-26.63
cpd00106,Fumarate,-2,-1194316.683,-601.870,2.24
cpd00023,L-Glutamate,-1,-1447097.126,-699.607,11.96
cpd00041,L-Aspartate,-1,-1343974.454,-699.439,1.64
cpd00036,Succinate,-2,-1197439.499,-687.766,15.18
cpd00029,Acetate,-1,-600274.968,-369.322,-5.81
cpd01194,Mesaconate,-2,-1297448.812,-600.700,1.55
cpd00032,Oxaloacetate,-2,-1391904.531,-793.290,2.67
cpd00137,Citrate,-3,-1992202.747,-1161.855,-12.47
cpd00106,Fumarate,-2,-1194316.683,-592.090,-8.00
cpd00145,Hydroxypyruvate,-1,-1095404.494,-608.550,-19.64
cpd00795,(R)-2-Hydroxyglutarate,-2,-1498138.593,-840.180,-2.65
cpd00089,Glucose-1-phosphate,-2,-3292638.507,-1754.560,-20.95
cpd00475,Ribose 1-phosphate,-2,-2991934.796,-1587.700,-13.26
cpd00333,(E)-Cinnamate,-1,-1306704.784,-128.750,6.37
cpd00089,Glucose-1-phosphate,-2,-3292638.507,-1756.690,-18.76
cpd00082,D-Fructose,0,-1804076.397,-915.510,0.15
cpd00290,"D-fructose-1,6-bisphosphate",-4,-4781112.418,-2601.400,59.66
cpd00079,D-glucose-6-phosphate,-2,-3292630.426,-1756.810,-10.32
cpd00079,D-glucose-6-phosphate,-2,-3292630.426,-1763.940,-2.98
cpd00079,D-glucose-6-phosphate,-2,-3292630.426,-1759.870,-7.17
cpd00200,4MOP,-1,-1207254.973,-445.140,-32.63
cpd00212,L-Sorbose,0,-1804085.288,-911.950,-13.05
cpd00101,ribose-5-phosphate,-2,-2991936.548,-1582.570,-20.29
cpd00154,Xylose,0,-1503402.526,-750.490,-21.38
cpd00072,D-fructose-6-phosphate,-2,-3292628.729,-1760.800,-4.46
cpd00298,dTMP,-2,-3785977.099,-1466.383,23.65
cpd00101,ribose-5-phosphate,-2,-2991936.548,-1598.340,-4.18
cpd00510,deoxyribose-5-phosphate,-2,-2794386.195,-1447.920,-1.02
