du_compound_id,name,smiles,inchikey,inchikey_block,has_dG_f,has_dH_f,has_dS_f,matched_cpd,in_abinitio_set
CHS_11025,,CCCC(=O)CC,PFCHFHIRKBAQGU-UHFFFAOYSA-N,PFCHFHIRKBAQGU,0,0,1,cpd23785,0
CHS_11029,,CCCC(O)CCC,YVBCULSIZWMTFY-UHFFFAOYSA-N,YVBCULSIZWMTFY,0,0,1,,0
CHS_11035,,CCCCC(C)CC,LAIUFBWHERIJIH-UHFFFAOYSA-N,LAIUFBWHERIJIH,0,0,1,,0
CHS_11036,,CCCCC(O)CC,RZKSECIXORKHQS-UHFFFAOYSA-N,RZKSECIXORKHQS,0,0,1,,0
CHS_11045,,CCCCOC(=O)CC,BTMVHUNTONAYDX-UHFFFAOYSA-N,BTMVHUNTONAYDX,0,0,1,cpd32892,0
CHS_11055,,CCCC(C)(C)C,CXOWYJMDMMMMJO-UHFFFAOYSA-N,CXOWYJMDMMMMJO,0,0,1,,0
CHS_11056,,CCCC(C)(C)O,WFRBDWRZVBPBDO-UHFFFAOYSA-N,WFRBDWRZVBPBDO,0,0,1,,0
CHS_11064,,CCCCC(C)(C)C,FLTJDUOFAQWHDF-UHFFFAOYSA-N,FLTJDUOFAQWHDF,0,0,1,,0
CHS_11086,,CC1=CCCCC1,CTMHWPIWNRWQEG-UHFFFAOYSA-N,CTMHWPIWNRWQEG,0,0,1,,0
CHS_11099,,C=CCC=C,QYZLKGVUSQXAMU-UHFFFAOYSA-N,QYZLKGVUSQXAMU,0,0,1,,0
CHS_11110,,C=CCCC=C,PYGSKMBEVAICCR-UHFFFAOYSA-N,PYGSKMBEVAICCR,0,0,1,,0
CHS_11122,,CCCCC=CC,OTTZHAVKAVGASB-UHFFFAOYSA-N,OTTZHAVKAVGASB,0,0,1,,0
CHS_11125,,CCCCOC=O,NMJJFJNHVMGPGM-UHFFFAOYSA-N,NMJJFJNHVMGPGM,0,0,1,,0
CHS_11180,,CC(C)C(C)(C)O,IKECULIHBUCAKR-UHFFFAOYSA-N,IKECULIHBUCAKR,0,0,1,,0
CHS_11210,,CCC(O)(CC)CC,XKIRHOWVQWCYBT-UHFFFAOYSA-N,XKIRHOWVQWCYBT,0,0,1,,0
CHS_11680,,CCCC(=O)OC,UUIQMZJEGPQKFD-UHFFFAOYSA-N,UUIQMZJEGPQKFD,0,0,1,,0
CHS_11706,,CCCCC(=O)OC,HNBDRPTVWVGKBR-UHFFFAOYSA-N,HNBDRPTVWVGKBR,0,0,1,,0
CHS_11739,,CCCCC(C)(C)O,KRIMXCDMVRMCTC-UHFFFAOYSA-N,KRIMXCDMVRMCTC,0,0,1,,0
CHS_11741,,CCCCCC(C)(C)O,ACBMYYVZWKYLIP-UHFFFAOYSA-N,ACBMYYVZWKYLIP,0,0,1,,0
CHS_11749,,COCC(C)C,ZYVYEJXMYBUCMN-UHFFFAOYSA-N,ZYVYEJXMYBUCMN,0,0,1,,0
CHS_11754,,CCOC(C)C,XSJVWZAETSBXKU-UHFFFAOYSA-N,XSJVWZAETSBXKU,0,0,1,,0
CHS_11755,,CC(C)OC=O,RMOUBSOVHSONPZ-UHFFFAOYSA-N,RMOUBSOVHSONPZ,0,0,1,,0
CHS_11761,,CC(C)SC(C)C,XYWDPYKBIRQXQS-UHFFFAOYSA-N,XYWDPYKBIRQXQS,0,0,1,,0
CHS_11794,,CCCCC(C)O,QNVRIHYSUZMSGM-UHFFFAOYSA-N,QNVRIHYSUZMSGM,0,0,1,cpd35162,0
CHS_11801,,CCCOC(C)C,JIEJJGMNDWIGBJ-UHFFFAOYSA-N,JIEJJGMNDWIGBJ,0,0,1,,0
CHS_11833,,CCCCOC,CXBDYQVECUFKRK-UHFFFAOYSA-N,CXBDYQVECUFKRK,0,0,1,,0
CHS_11835,,CCCOCC,NVJUHMXYKCUMQA-UHFFFAOYSA-N,NVJUHMXYKCUMQA,0,0,1,,0
CHS_11841,,CC(C)COCC(C)C,SZNYYWIUQFZLLT-UHFFFAOYSA-N,SZNYYWIUQFZLLT,0,0,1,,0
CHS_11849,,CCCCOCC,PZHIWRCQKBBTOW-UHFFFAOYSA-N,PZHIWRCQKBBTOW,0,0,1,,0
CHS_11861,,CCCCCCCC(C)O,NGDNVOAEIVQRFH-UHFFFAOYSA-N,NGDNVOAEIVQRFH,0,0,1,,0
CHS_11992,,CCC(=O)OC(C)C,IJMWOMHMDSDKGK-UHFFFAOYSA-N,IJMWOMHMDSDKGK,0,0,1,,0
CHS_11996,,CCOC(C)(C)C,NUMQCACRALPSHD-UHFFFAOYSA-N,NUMQCACRALPSHD,0,0,1,,0
CHS_12012,,CCCCCOC=O,DIQMPQMYFZXDAX-UHFFFAOYSA-N,DIQMPQMYFZXDAX,0,0,1,,0
CHS_12065,,CCC=CC,QMMOXUPEWRXHJS-UHFFFAOYSA-N,QMMOXUPEWRXHJS,0,0,1,,0
CHS_121465,,CCCCOCCC,YGZQJYIITOMTMD-UHFFFAOYSA-N,YGZQJYIITOMTMD,0,0,1,,0
CHS_121566,,CCCCCCCCC(C)(C)O,WTXBAYPZJKPZHX-UHFFFAOYSA-N,WTXBAYPZJKPZHX,0,0,1,,0
CHS_121589,,CCOCCCOCC,IOQSSIPMPIYMDF-UHFFFAOYSA-N,IOQSSIPMPIYMDF,0,0,1,,0
CHS_12201,,CC(C)CC=C,WSSSPWUEQFSQQG-UHFFFAOYSA-N,WSSSPWUEQFSQQG,0,0,1,,0
CHS_123622,,COCCCOC,UUAMLBIYJDPGFU-UHFFFAOYSA-N,UUAMLBIYJDPGFU,0,0,1,,0
CHS_123860,,CCCOCCOCCC,HQSLKNLISLWZQH-UHFFFAOYSA-N,HQSLKNLISLWZQH,0,0,1,,0
CHS_12446,,CCCC(C)=C,WWUVJRULCWHUSA-UHFFFAOYSA-N,WWUVJRULCWHUSA,0,0,1,,0
CHS_12626,,OCCCC=C,LQAVWYMTUMSFBE-UHFFFAOYSA-N,LQAVWYMTUMSFBE,0,0,1,,0
CHS_12635,,CCCCCCCCCC=C,DCTOHCCUXLBQMS-UHFFFAOYSA-N,DCTOHCCUXLBQMS,0,0,1,,0
CHS_127750,,CCCOCCOC,ILLHRDFIVGEPIU-UHFFFAOYSA-N,ILLHRDFIVGEPIU,0,0,1,,0
CHS_12807,,CCCCCCCC(C)C,SGVYKUFIHHTIFL-UHFFFAOYSA-N,SGVYKUFIHHTIFL,0,0,1,,0
CHS_12809,,CCCCCCCCC=C,AFFLGGQVNFXPEV-UHFFFAOYSA-N,AFFLGGQVNFXPEV,0,0,1,,0
CHS_12939,,CCOC(C)(C)CC,KFRVYYGHSPLXSZ-UHFFFAOYSA-N,KFRVYYGHSPLXSZ,0,0,1,,0
CHS_13245,,CCCCCCCCC(C)CC,HTZWVZNRDDOFEI-UHFFFAOYSA-N,HTZWVZNRDDOFEI,0,0,1,,0
CHS_13443,,CCCCCC(C)(C)C,PSABUFWDVWCFDP-UHFFFAOYSA-N,PSABUFWDVWCFDP,0,0,1,,0
CHS_13616,,CCCCCCCCC(C)O,ACUZDYFTRHEKOS-UHFFFAOYSA-N,ACUZDYFTRHEKOS,0,0,1,,0
CHS_13835376,,CCOCCOCC,LZDKZFUFMNSQCJ-UHFFFAOYSA-N,LZDKZFUFMNSQCJ,0,0,1,,0
CHS_13835836,,CCOC(C)OCC,DHKHKXVYLBGOIT-UHFFFAOYSA-N,DHKHKXVYLBGOIT,0,0,1,,0
CHS_13854808,,COC(C)OC,SPEUIVXLLWOEMJ-UHFFFAOYSA-N,SPEUIVXLLWOEMJ,0,0,1,,0
CHS_153877,,CCCCCCCC(C)(C)C,WDSBVMLUILIJOW-UHFFFAOYSA-N,WDSBVMLUILIJOW,0,0,1,,0
CHS_15765,,C[C@H]1CCCC[C@H]1C,KVZJLSYJROEPSQ-OCAPTIKFSA-N,KVZJLSYJROEPSQ,0,0,1,,0
CHS_15801,,CCCCCC(C)CC,SEEOMASXHIJCDV-UHFFFAOYSA-N,SEEOMASXHIJCDV,0,0,1,,0
CHS_15802,,CCCCC(C)CCC,DOGIHOCMZJUJNR-UHFFFAOYSA-N,DOGIHOCMZJUJNR,0,0,1,,0
CHS_16074,,C=CCCCC=C,GEAWFZNTIFJMHR-UHFFFAOYSA-N,GEAWFZNTIFJMHR,0,0,1,,0
